k1	mu	t	BS	1sig	UL	Ntri
0.02525913457458832	0.85	0.55	33691829597569.77	18583559.089369733	33691866764687.957	19384.0
0.02525913457458832	0.95	0.55	85046315596211.28	5650439.522722297	85046326897090.36	73885.0
0.02525913457458832	0.75	0.65	164247038763068.8	8066140.001776065	164247054895348.8	51982.0
0.02525913457458832	0.85	0.65	195345107934671.28	4223136.655181719	195345116380944.53	136448.0
0.02525913457458832	0.95	0.65	219062276994771.78	5500076.280090511	219062287994924.38	60065.0
0.02525913457458832	0.65	0.75	203257715067907.25	9196518.448125377	203257733460944.16	41482.0
0.02525913457458832	0.75	0.75	203845438007472.8	5588214.783416109	203845449183902.38	69018.0
0.02525913457458832	0.85	0.75	160108410844181.56	4864457.625198299	160108420573096.84	85376.0
0.02525913457458832	0.95	0.75	221931818433353.66	8721148.830458766	221931835875651.34	31734.0
0.02525913457458832	0.55	0.85	187628003141832.8	12241980.082689235	187628027625792.94	31014.0
0.02525913457458832	0.65	0.85	223292480741097.88	7369480.275197684	223292495480058.4	71202.0
0.02525913457458832	0.75	0.85	180378218200534.97	6544665.345627146	180378231289865.62	87365.0
0.02525913457458832	0.85	0.85	148419423320080.53	4683714.933978859	148419432687510.4	106815.0
0.02525913457458832	0.95	0.85	166537665002211.97	5538326.776627855	166537676078865.6	68289.0
0.02525913457458832	0.55	0.95	168224161560447.88	7866297.19822911	168224177293042.3	65634.0
0.02525913457458832	0.65	0.95	187579228491790.47	7652149.831129162	187579243796090.16	90082.0
0.02525913457458832	0.75	0.95	170568292903455.12	5634170.76755873	170568304171796.66	98444.0
0.02525913457458832	0.85	0.95	164708888680723.22	5233138.784318785	164708899147000.78	164258.0
0.02525913457458832	0.95	0.95	93905270588386.78	4036117.442304094	93905278660621.66	200344.0
0.03720641777081378	0.85	0.55	1218766227145572.5	95089930.64280097	1218766417325433.8	53172.0
0.03720641777081378	0.95	0.55	1202024063396937.0	60605449.30885222	1202024184607835.2	97986.0
0.03720641777081378	0.75	0.65	955114497727180.6	72491137.08566199	955114642709454.9	74122.0
0.03720641777081378	0.85	0.65	662876262430501.9	39328569.869556084	662876341087641.6	223755.0
0.03720641777081378	0.95	0.65	430819509599364.75	24940424.51074652	430819559480213.9	457139.0
0.03720641777081378	0.65	0.75	1188199516997772.8	63026896.00711527	1188199643051564.2	102630.0
0.03720641777081378	0.75	0.75	1030574161089206.5	38720119.03578577	1030574238529444.5	264126.0
0.03720641777081378	0.85	0.75	755115529331195.6	34318270.261825226	755115597967736.1	413992.0
0.03720641777081378	0.95	0.75	811985993518063.1	25140534.11130877	811986043799131.6	465205.0
0.03720641777081378	0.55	0.85	1016798410715709.1	164917271.63085723	1016798740550252.1	28502.0
0.03720641777081378	0.65	0.85	946444664035243.6	48130723.7390912	946444760296690.9	217356.0
0.03720641777081378	0.75	0.85	907577689272864.4	33010561.996854343	907577755293988.2	339084.0
0.03720641777081378	0.85	0.85	804477148761493.9	28160392.915146176	804477205082279.9	412127.0
0.03720641777081378	0.95	0.85	970799436372600.8	28438970.73459595	970799493250542.0	364982.0
0.03720641777081378	0.55	0.95	907514238614656.0	49287073.823382504	907514337188803.6	182854.0
0.03720641777081378	0.65	0.95	965141444514538.1	37367138.34833225	965141519248814.8	248692.0
0.03720641777081378	0.75	0.95	1012928096486708.1	33592619.34558982	1012928163671947.1	335280.0
0.03720641777081378	0.85	0.95	891353139808568.8	40290318.068563595	891353220389204.8	424768.0
0.03720641777081378	0.95	0.95	872058421376727.9	20808536.646262795	872058462993801.1	795743.0
0.05480462995470181	0.85	0.55	8743945453073709.0	523331137.969409	8743946499735986.0	226718.0
0.05480462995470181	0.95	0.55	6605465780188195.0	158004098.9403551	6605466096196393.0	1177830.0
0.05480462995470181	0.75	0.65	7077802968858908.0	348769042.3642281	7077803666396993.0	505186.0
0.05480462995470181	0.85	0.65	5790152662320378.0	169666680.45098245	5790153001653740.0	1426787.0
0.05480462995470181	0.95	0.65	5132423574036790.0	131998207.55948523	5132423838033205.0	2243945.0
0.05480462995470181	0.65	0.75	5532916818545829.0	266880861.13033724	5532917352307551.0	599382.0
0.05480462995470181	0.75	0.75	5395940366356441.0	196619682.25462312	5395940759595808.0	1614039.0
0.05480462995470181	0.85	0.75	6512494325904177.0	182438450.30090213	6512494690781079.0	1976017.0
0.05480462995470181	0.95	0.75	5285062400665822.0	108548013.07510202	5285062617761846.0	3197629.0
0.05480462995470181	0.55	0.85	4536381610832043.0	364120289.1391734	4536382339072621.0	464526.0
0.05480462995470181	0.65	0.85	3254039567832918.0	140550440.57467014	3254039848933798.5	2216914.0
0.05480462995470181	0.75	0.85	4034117523512950.0	137310396.95885512	4034117798133744.5	2324339.0
0.05480462995470181	0.85	0.85	5879998942802965.0	139527233.693525	5879999221857431.0	3050093.0
0.05480462995470181	0.95	0.85	7584508821971333.0	89006723.51464014	7584508999984782.0	4883314.0
0.05480462995470181	0.55	0.95	3424754037353721.0	172016690.59893563	3424754381387102.0	2588688.0
0.05480462995470181	0.65	0.95	2968582837284798.0	129856736.22222272	2968583096998269.5	3325194.0
0.05480462995470181	0.75	0.95	4096111140739138.0	123437213.25615212	4096111387613565.0	3304316.0
0.05480462995470181	0.85	0.95	6358163080977456.0	127997261.52800481	6358163336971979.0	4218884.0
0.05480462995470181	0.95	0.95	8960051957589806.0	69322587.87761985	8960052096234982.0	8964264.0
0.08072659622792022	0.85	0.55	4.541672293131807e+16	1958268005.6644018	4.541672684785409e+16	1656434.0
0.08072659622792022	0.95	0.55	4.4939382683352e+16	975877177.5672678	4.493938463510635e+16	6719154.0
0.08072659622792022	0.75	0.65	2.1643133343551144e+16	1319854233.6045613	2.164313598325962e+16	4169590.0
0.08072659622792022	0.85	0.65	3.1164501636254696e+16	756371105.073172	3.1164503148996904e+16	11252657.0
0.08072659622792022	0.95	0.65	3.4561430285483156e+16	555322061.3034804	3.456143139612728e+16	10639805.0
0.08072659622792022	0.65	0.75	1.646795105045779e+16	1011577966.7362415	1.6467953073613724e+16	4908642.0
0.08072659622792022	0.75	0.75	1.2340789902618374e+16	568369962.5214177	1.2340791039358304e+16	15903119.0
0.08072659622792022	0.85	0.75	1.8718872502263212e+16	712865462.4928365	1.8718873927994136e+16	15828065.0
0.08072659622792022	0.95	0.75	3.053574633446993e+16	487636059.9796802	3.053574730974205e+16	20694193.0
0.08072659622792022	0.55	0.85	1.173395816908605e+16	1603163190.3753366	1.1733961375412434e+16	3603498.0
0.08072659622792022	0.65	0.85	7835070206368426.0	702205296.274794	7835071610779021.0	17758482.0
0.08072659622792022	0.75	0.85	9230940540097078.0	581282036.2611614	9230941702661150.0	17509855.0
0.08072659622792022	0.85	0.85	1.566709737676495e+16	610920202.2127854	1.5667098598605356e+16	18890221.0
0.08072659622792022	0.95	0.85	3.500277245553297e+16	470264865.11334044	3.5002773396062704e+16	31466938.0
